,no_bab,nama_bab,no_bagian,nama_bagian,no_paragraf,nama_paragraf,no_pasal,no_ayat,isi_ayat,pasal_ayat,penjelasan_pasal,no_ayat_y,penjelasan,nomor_uu,tahun_uu
0,I,KETENTUAN UMUM,,,,,1,,"Dalam Undang-Undang ini yang dimaksud dengan:
1. Lembaga Keuangan Mikro yang selanjutnya disingkat LKM adalah
lembaga keuangan yang khusus didirikan untuk memberikan jasa
pengembangan usaha dan pemberdayaan masyarakat, baik melalui
pinjaman atau pembiayaan dalam usaha skala mikro kepada anggota
dan masyarakat, pengelolaan simpanan, maupun pemberian jasa
konsultasi pengembangan usaha yang tidak semata-mata mencari
keuntungan.
2. Simpanan adalah dana yang dipercayakan oleh masyarakat kepada
LKM dalam bentuk tabungan dan/atau deposito berdasarkan
perjanjian penyimpanan dana.
3. Pinjaman adalah penyediaan dana oleh LKM kepada masyarakat yang
harus dikembalikan sesuai dengan yang diperjanjikan.
4. Pembiayaan adalah penyediaan dana oleh LKM kepada masyarakat
yang harus dikembalikan sesuai dengan yang diperjanjikan dengan
prinsip syariah.
5. Penyimpan adalah pihak yang menempatkan dananya pada LKM
berdasarkan perjanjian.
6. Pemerintah Pusat yang selanjutnya disebut Pemerintah adalah
Presiden Republik Indonesia yang memegang kekuasaan
pemerintahan Negara Republik Indonesia sebagaimana dimaksud
dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
7. Pemerintah Daerah adalah Gubernur, Bupati atau Walikota, dan
perangkat daerah sebagai unsur penyelenggara pemerintahan daerah.
8. Otoritas Jasa Keuangan adalah Otoritas Jasa Keuangan sebagaimana
dimaksud dalam Undang-Undang tentang Otoritas Jasa Keuangan.",1-,Cukup jelas.,,Cukup jelas.,1,2013
1,II,ASAS DAN TUJUAN,,,,,2,,"LKM berasaskan:
a. keadilan;
b. kebersamaan;
c. kemandirian;
d. kemudahan;
e. keterbukaan;
f. pemerataan;
g. keberlanjutan; dan
h. kedayagunaan dan kehasilgunaan.",2-,"Huruf a
Yang dimaksud dengan “asas keadilan” adalah memberikan
kesempatan yang sama kepada masyarakat, terutama
masyarakat miskin dan/atau berpenghasilan rendah untuk
mendapatkan pelayanan dari LKM.
Huruf b
Yang dimaksud dengan “asas kebersamaan” adalah suatu
kegiatan yang dilakukan secara bersama-sama untuk
kepentingan bersama.
Huruf c
Yang dimaksud dengan “asas kemandirian” adalah suatu
kegiatan yang dilakukan tanpa banyak tergantung kepada
pihak lain, baik dari aspek sumber daya manusia maupun
permodalan.
Huruf d
Yang dimaksud dengan “asas kemudahan” adalah bahwa
prosedur pembiayaan dan penyimpanan dana dalam LKM
dibuat sesederhana mungkin.
Huruf e
Yang dimaksud dengan “asas keterbukaan” adalah suatu
kegiatan usaha yang proses pengelolaannya dapat diketahui
oleh masyarakat.
Huruf f
Yang dimaksud dengan “asas pemerataan” adalah pemberian
Pinjaman atau Pembiayaan yang menjangkau seluruh
masyarakat miskin dan/atau berpenghasilan rendah.
Huruf g
Yang dimaksud dengan “asas keberlanjutan” adalah suatu
usaha yang dilakukan secara terus-menerus dan
berkesinambungan yang tidak dibatasi oleh waktu tertentu.
Huruf h
Yang dimaksud dengan “asas kedayagunaan dan
kehasilgunaan” adalah suatu kegiatan pemberdayaan
sekaligus mendayagunakan usaha dan layanan keuangan
mikro untuk masyarakat miskin dan/atau berpenghasilan
rendah.",,"Huruf a
Yang dimaksud dengan “asas keadilan” adalah memberikan
kesempatan yang sama kepada masyarakat, terutama
masyarakat miskin dan/atau berpenghasilan rendah untuk
mendapatkan pelayanan dari LKM.
Huruf b
Yang dimaksud dengan “asas kebersamaan” adalah suatu
kegiatan yang dilakukan secara bersama-sama untuk
kepentingan bersama.
Huruf c
Yang dimaksud dengan “asas kemandirian” adalah suatu
kegiatan yang dilakukan tanpa banyak tergantung kepada
pihak lain, baik dari aspek sumber daya manusia maupun
permodalan.
Huruf d
Yang dimaksud dengan “asas kemudahan” adalah bahwa
prosedur pembiayaan dan penyimpanan dana dalam LKM
dibuat sesederhana mungkin.
Huruf e
Yang dimaksud dengan “asas keterbukaan” adalah suatu
kegiatan usaha yang proses pengelolaannya dapat diketahui
oleh masyarakat.
Huruf f
Yang dimaksud dengan “asas pemerataan” adalah pemberian
Pinjaman atau Pembiayaan yang menjangkau seluruh
masyarakat miskin dan/atau berpenghasilan rendah.
Huruf g
Yang dimaksud dengan “asas keberlanjutan” adalah suatu
usaha yang dilakukan secara terus-menerus dan
berkesinambungan yang tidak dibatasi oleh waktu tertentu.
Huruf h
Yang dimaksud dengan “asas kedayagunaan dan
kehasilgunaan” adalah suatu kegiatan pemberdayaan
sekaligus mendayagunakan usaha dan layanan keuangan
mikro untuk masyarakat miskin dan/atau berpenghasilan
rendah.",1,2013
2,II,ASAS DAN TUJUAN,,,,,3,,"LKM bertujuan untuk:
a. meningkatkan akses pendanaan skala mikro bagi masyarakat;
b. membantu peningkatan pemberdayaan ekonomi dan produktivitas
masyarakat; dan
c. membantu peningkatan pendapatan dan kesejahteraan masyarakat
terutama masyarakat miskin dan/atau berpenghasilan rendah.",3-,Cukup jelas.,,Cukup jelas.,1,2013
3,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Kesatu,Pendirian,,,4,,"Pendirian LKM paling sedikit harus memenuhi persyaratan:
a. bentuk badan hukum;
b. permodalan; dan
c. mendapat izin usaha yang tata caranya diatur dalam Undang-Undang
ini.",4-,Cukup jelas.,,Cukup jelas.,1,2013
4,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Kesatu,Pendirian,,,5,1," Bentuk badan hukum sebagaimana dimaksud dalam Pasal 4 huruf a
adalah:
a. Koperasi; atau
b. Perseroan Terbatas.",5-1,"Ayat (1)
Huruf a
Yang dimaksud dengan “koperasi” adalah koperasi jasa.
Huruf b
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.",1,"Huruf a
Yang dimaksud dengan “koperasi” adalah koperasi jasa.
Huruf b
Cukup jelas.",1,2013
5,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Kesatu,Pendirian,,,5,2," Perseroan Terbatas sebagaimana dimaksud pada ayat (1) huruf b,
sahamnya paling sedikit 60% (enam puluh persen) dimiliki oleh
Pemerintah Daerah Kabupaten/Kota atau badan usaha milik
desa/kelurahan.",5-2,"Ayat (1)
Huruf a
Yang dimaksud dengan “koperasi” adalah koperasi jasa.
Huruf b
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.",2,Cukup jelas.,1,2013
6,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Kesatu,Pendirian,,,5,3," Sisa kepemilikan saham Perseroan Terbatas sebagaimana dimaksud
pada ayat (2) dapat dimiliki oleh:
a. warga negara Indonesia; dan/atau
b. koperasi.",5-3,"Ayat (1)
Huruf a
Yang dimaksud dengan “koperasi” adalah koperasi jasa.
Huruf b
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.",3,Cukup jelas.,1,2013
7,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Kesatu,Pendirian,,,5,4," Kepemilikan setiap warga negara Indonesia atas saham Perseroan
Terbatas sebagaimana dimaksud pada ayat (3) huruf a paling banyak
sebesar 20% (dua puluh persen).",5-4,"Ayat (1)
Huruf a
Yang dimaksud dengan “koperasi” adalah koperasi jasa.
Huruf b
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.",4,Cukup jelas.,1,2013
8,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Kesatu,Pendirian,,,6,,"LKM dilarang dimiliki, baik langsung maupun tidak langsung, oleh warga
negara asing dan/atau badan usaha yang sebagian atau seluruhnya
dimiliki oleh warga negara asing atau badan usaha asing.",6-,Cukup jelas.,,Cukup jelas.,1,2013
9,III,"PENDIRIAN, KEPEMILIKAN, DAN PERIZINAN",Kesatu,Pendirian,,,7,1," Sumber permodalan LKM disesuaikan dengan ketentuan peraturan
perundang-undangan sesuai dengan badan hukumnya.",7-1,Cukup jelas.,,,1,2013
